"filename", "language", "TOML", "Markdown", "Python", "Polymer", "YAML", "comment", "blank", "total"
"d:\guosu\g0v0bot-discord\.trae\specs\refactor-plugin-system\checklist.md", "Markdown", 0, 85, 0, 0, 0, 0, 19, 104
"d:\guosu\g0v0bot-discord\.trae\specs\refactor-plugin-system\spec.md", "Markdown", 0, 125, 0, 0, 0, 0, 53, 178
"d:\guosu\g0v0bot-discord\.trae\specs\refactor-plugin-system\tasks.md", "Markdown", 0, 81, 0, 0, 0, 0, 27, 108
"d:\guosu\g0v0bot-discord\README.md", "Markdown", 0, 111, 0, 0, 0, 0, 47, 158
"d:\guosu\g0v0bot-discord\adapters\__init__.py", "Python", 0, 0, 4, 0, 0, 0, 3, 7
"d:\guosu\g0v0bot-discord\adapters\base.py", "Python", 0, 0, 88, 0, 0, 6, 27, 121
"d:\guosu\g0v0bot-discord\adapters\discord_adapter.py", "Python", 0, 0, 134, 0, 0, 2, 29, 165
"d:\guosu\g0v0bot-discord\adapters\message_types.py", "Python", 0, 0, 35, 0, 0, 1, 17, 53
"d:\guosu\g0v0bot-discord\adapters\qq_adapter.py", "Python", 0, 0, 110, 0, 0, 4, 36, 150
"d:\guosu\g0v0bot-discord\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\guosu\g0v0bot-discord\backend\api_client.py", "Python", 0, 0, 266, 0, 0, 6, 56, 328
"d:\guosu\g0v0bot-discord\backend\beatmap.py", "Python", 0, 0, 32, 0, 0, 3, 13, 48
"d:\guosu\g0v0bot-discord\backend\database.py", "Python", 0, 0, 79, 0, 0, 3, 34, 116
"d:\guosu\g0v0bot-discord\backend\exceptions\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 2, 14
"d:\guosu\g0v0bot-discord\backend\exceptions\beatmap.py", "Python", 0, 0, 6, 0, 0, 0, 3, 9
"d:\guosu\g0v0bot-discord\backend\exceptions\renderer.py", "Python", 0, 0, 6, 0, 0, 0, 2, 8
"d:\guosu\g0v0bot-discord\backend\exceptions\scores.py", "Python", 0, 0, 7, 0, 0, 0, 3, 10
"d:\guosu\g0v0bot-discord\backend\exceptions\user.py", "Python", 0, 0, 18, 0, 0, 0, 11, 29
"d:\guosu\g0v0bot-discord\backend\scores.py", "Python", 0, 0, 142, 0, 0, 3, 37, 182
"d:\guosu\g0v0bot-discord\backend\user.py", "Python", 0, 0, 118, 0, 0, 2, 32, 152
"d:\guosu\g0v0bot-discord\config\api.yaml", "YAML", 0, 0, 0, 0, 10, 1, 2, 13
"d:\guosu\g0v0bot-discord\config\config.example.yaml", "YAML", 0, 0, 0, 0, 17, 14, 10, 41
"d:\guosu\g0v0bot-discord\config\strings.yaml", "YAML", 0, 0, 0, 0, 215, 39, 45, 299
"d:\guosu\g0v0bot-discord\docs\minifilter_guide.md", "Markdown", 0, 178, 0, 0, 0, 0, 62, 240
"d:\guosu\g0v0bot-discord\docs\minifilter_guide_en.md", "Markdown", 0, 180, 0, 0, 0, 0, 64, 244
"d:\guosu\g0v0bot-discord\docs\skin_guide.md", "Markdown", 0, 342, 0, 0, 0, 0, 83, 425
"d:\guosu\g0v0bot-discord\docs\skin_guide_en.md", "Markdown", 0, 311, 0, 0, 0, 0, 73, 384
"d:\guosu\g0v0bot-discord\frontend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\guosu\g0v0bot-discord\frontend\discord\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\guosu\g0v0bot-discord\frontend\discord\cogs\beatmap.py", "Python", 0, 0, 45, 0, 0, 0, 11, 56
"d:\guosu\g0v0bot-discord\frontend\discord\cogs\scores.py", "Python", 0, 0, 426, 0, 0, 2, 74, 502
"d:\guosu\g0v0bot-discord\frontend\discord\cogs\user.py", "Python", 0, 0, 104, 0, 0, 2, 19, 125
"d:\guosu\g0v0bot-discord\frontend\discord\main.py", "Python", 0, 0, 74, 0, 0, 11, 42, 127
"d:\guosu\g0v0bot-discord\frontend\discord\util.py", "Python", 0, 0, 24, 0, 0, 0, 5, 29
"d:\guosu\g0v0bot-discord\frontend\qq\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\guosu\g0v0bot-discord\frontend\qq\main.py", "Python", 0, 0, 99, 0, 0, 7, 30, 136
"d:\guosu\g0v0bot-discord\frontend\qq\plugins\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
